Year,PlayerName,Position
2011-2012,Blake Comeau,RW
2011-2012,Guillaume Desbiens,RW
2011-2012,David Eddy,RW
2011-2012,Mark Giordano,D
2011-2012,Curtis Glencross,LW
2011-2012,Niklas Hagman,LW
2011-2012,Scott Hannan,D
2011-2012,Roman Horak,C
2011-2012,Jarome Iginla,RW
2011-2012,Leland Irving,G
2011-2012,Raitis Ivanans,LW
2011-2012,Tim Jackman,RW
2011-2012,Olli Jokinen,C
2011-2012,Blair Jones,C
2011-2012,Henrik Karlsson,G
2011-2012,Miikka Kiprusoff,G
2011-2012,Krystofer Kolanos,C
2011-2012,Tom Kostopoulos,RW
2011-2012,Pierre-Luc Letourneau-Leblond,RW
2011-2012,Brendan Morrison,C
2011-2012,David Moss,RW
2011-2012,Greg Nemisz,RW
2011-2012,Joe Piskula,D
2011-2012,Cory Sarich,D
2011-2012,Derek Smith,D
2011-2012,Matt Stajan,C
2011-2012,Lee Stempniak,RW
2011-2012,Alex Tanguay,LW
2011-2012,Clay Wilson,D
2011-2012,Francois Beauchemin,D
2011-2012,Matt Beleskey,LW
2011-2012,Mark Bell,C
2011-2012,Jason Blake,LW
2011-2012,Nick Bonino,C
2011-2012,Sheldon Brookbank,D
2011-2012,Luca Caputi,LW
2011-2012,Mat Clark,D
2011-2012,Andrew Cogliano,C
2011-2012,Kyle Cumiskey,D
2011-2012,Jeff Deslauriers,G
2011-2012,Dan Ellis,G
2011-2012,Kurtis Foster,D
2011-2012,Cam Fowler,D
2011-2012,Mark Fraser,D
2011-2012,Ryan Getzlaf,C
2011-2012,Andrew Gordon,RW
2011-2012,Nate Guenin,D
2011-2012,Niklas Hagman,LW
2011-2012,Jonas Hiller,G
2011-2012,Peter Holland,C
2011-2012,Jean-Francois Jacques,LW
2011-2012,Saku Koivu,C
2011-2012,Toni Lydman,D
2011-2012,Maxime Macenauer,C
2011-2012,Patrick Maroon,LW
2011-2012,Ben Maxwell,C
2011-2012,Brian McGrattan,RW
2011-2012,Brandon McMillan,C
2011-2012,Ryan O'Marra,C
2011-2012,Kyle Palmieri,RW
2011-2012,George Parros,RW
2011-2012,Rod Pelley,C
2011-2012,Corey Perry,RW
2011-2012,Bobby Ryan,RW
2011-2012,Luca Sbisa,D
2011-2012,Teemu Selanne,RW
2011-2012,Matt Smaby,D
2011-2012,Devante Smith-Pelly,RW
2011-2012,Iiro Tarkki,G
2011-2012,Lubomir Visnovsky,D
2011-2012,Scott Arnold,RW
2011-2012,Adrian Aucoin,D
2011-2012,Paul Bissonnette,LW
2011-2012,Mikkel Boedker,RW
2011-2012,Alexandre Bolduc,C
2011-2012,Gilbert Brule,C
2011-2012,Marc Cheverie,D
2011-2012,Kyle Chipchura,C
2011-2012,Shane Doan,RW
2011-2012,Louis Domingue,G
2011-2012,Oliver Ekman-Larsson,D
2011-2012,Maxim Goncharov,D
2011-2012,Boyd Gordon,C
2011-2012,Martin Hanzal,C
2011-2012,Brett Hextall,C
2011-2012,Ryan Hollweg,LW
2011-2012,Rostislav Klesla,D
2011-2012,Lauri Korpikoski,LW
2011-2012,Jason LaBarbera,G
2011-2012,Daymond Langkow,C
2011-2012,Mark Louis,D
2011-2012,Brett MacLean,LW
2011-2012,Curtis McElhinney,G
2011-2012,Andy Miele,C
2011-2012,Derek Morris,D
2011-2012,Connor Murphy,D
2011-2012,Petteri Nokelainen,C
2011-2012,Cal O'Reilly,C
2011-2012,Patrick O'Sullivan,C
2011-2012,Nathan Oystrick,D
2011-2012,Justin Pogge,G
2011-2012,Marc-Antoine Pouliot,C
2011-2012,Taylor Pyatt,LW
2011-2012,Michal Rozsival,D
2011-2012,David Rundblad,D
2011-2012,Kurt Sauer,D
2011-2012,David Schlemko,D
2011-2012,Mike Smith,G
2011-2012,Michael Stone,D
2011-2012,Chris Summers,D
2011-2012,Jordan Szwarz,RW
2011-2012,Raffi Torres,LW
2011-2012,Brock Trotter,C
2011-2012,Kyle Turris,C
2011-2012,Antoine Vermette,C
2011-2012,Radim Vrbata,RW
2011-2012,Matt Watkins,RW
2011-2012,Ethan Werek,C
2011-2012,Ray Whitney,LW
2011-2012,Keith Yandle,D
2011-2012,Cam Barker,D
2011-2012,Eric Belanger,C
2011-2012,Taylor Chorney,D
2011-2012,Philippe Cornet,LW
2011-2012,Yann Danis,G
2011-2012,Devan Dubnyk,G
2011-2012,Ben Eager,LW
2011-2012,Jordan Eberle,RW
2011-2012,Taylor Fedun,D
2011-2012,Sam Gagner,C
2011-2012,Tom Gilbert,D
2011-2012,Josh Green,LW
2011-2012,Taylor Hall,LW
2011-2012,Teemu Hartikainen,LW
2011-2012,Ales Hemsky,RW
2011-2012,Shawn Horcoff,C
2011-2012,Darcy Hordichuk,LW
2011-2012,Ryan Jones,LW
2011-2012,Ryan Keller,RW
2011-2012,Nikolai Khabibulin,G
2011-2012,Milan Kytnar,C
2011-2012,Anton Lander,C
2011-2012,Ryan Nugent-Hopkins,C
2011-2012,Linus Omark,LW
2011-2012,Ryan O'Marra,C
2011-2012,Magnus Paajarvi,LW
2011-2012,Theo Peckham,D
2011-2012,Lennart Petrell,C
2011-2012,Jeff Petry,D
2011-2012,Alex Plante,D
2011-2012,Corey Potter,D
2011-2012,Bryan Rodney,D
2011-2012,Nick Schultz,D
2011-2012,Ladislav Smid,D
2011-2012,Ryan Smyth,LW
2011-2012,Andy Sutton,D
2011-2012,Colten Teubert,D
2011-2012,Chris Vandevelde,C
2011-2012,Ryan Whitney,D
2011-2012,Andrew Alberts,D
2011-2012,Keith Ballard,D
2011-2012,Nolan Baumgartner,D
2011-2012,Kevin Bieksa,D
2011-2012,Byron Bitz,RW
2011-2012,David Booth,LW
2011-2012,Alexandre Burrows,LW
2011-2012,Matt Climie,G
2011-2012,Micheal Duco,RW
2011-2012,Andrew Ebbett,C
2011-2012,Alexander Edler,D
2011-2012,Marc-Andre Gragnani,D
2011-2012,Dan Hamhuis,D
2011-2012,Jannik Hansen,RW
2011-2012,Chris Higgins,LW
2011-2012,Cody Hodgson,C
2011-2012,Zach Kassian,RW
2011-2012,Ryan Kesler,C
2011-2012,Eddie Lack,G
2011-2012,Maxim Lapierre,C
2011-2012,Roberto Luongo,G
2011-2012,Manny Malhotra,C
2011-2012,Mark Mancari,RW
2011-2012,Victor Oreskovich,RW
2011-2012,Samuel Pahlsson,C
2011-2012,Steven Pinizzotto,RW
2011-2012,Mason Raymond,LW
2011-2012,Steve Reinprecht,C
2011-2012,Aaron Rome,D
2011-2012,Sami Salo,D
2011-2012,Mikael Samuelsson,RW
2011-2012,Cory Schneider,G
2011-2012,Daniel Sedin,LW
2011-2012,Henrik Sedin,C
2011-2012,Marco Sturm,LW
2011-2012,Alexander Sulzer,D
2011-2012,Bill Sweatt,LW
2011-2012,Christopher Tanev,D
2011-2012,Aaron Volpatti,LW
2011-2012,Dale Weise,RW
2011-2012,Andy Andreoff,LW
2011-2012,Justin Azevedo,C
2011-2012,Jonathan Bernier,G
2011-2012,Dustin Brown,RW
2011-2012,Andrew Campbell,D
2011-2012,Jeff Carter,C
2011-2012,Marc-Andre Cliche,C
2011-2012,Kyle Clifford,LW
2011-2012,Richard Clune,LW
2011-2012,Drew Doughty,D
2011-2012,Davis Drewiske,D
2011-2012,Colin Fraser,C
2011-2012,Simon Gagne,LW
2011-2012,Matt Greene,D
2011-2012,Thomas Hickey,D
2011-2012,Trent Hunter,RW
2011-2012,Jack Johnson,D
2011-2012,Martin Jones,G
2011-2012,Dwight King,LW
2011-2012,Anze Kopitar,C
2011-2012,Trevor Lewis,C
2011-2012,Andrei Loktionov,C
2011-2012,Alec Martinez,D
2011-2012,Willie Mitchell,D
2011-2012,Ethan Moreau,LW
2011-2012,Patrick Mullen,D
2011-2012,Jacob Muzzin,D
2011-2012,Jordan Nolan,C
2011-2012,Scott Parse,LW
2011-2012,Dustin Penner,LW
2011-2012,Jonathan Quick,G
2011-2012,Mike Richards,C
2011-2012,Brad Richardson,C
2011-2012,Robert Scuderi,D
2011-2012,Jarret Stoll,C
2011-2012,Tyler Toffoli,C
2011-2012,Linden Vey,RW
2011-2012,Slava Voynov,D
2011-2012,Kevin Westgarth,RW
2011-2012,Justin Williams,RW
2011-2012,Jeff Zatkoff,G
2011-2012,Dan Boyle,D
2011-2012,Justin Braun,D
2011-2012,Brent Burns,D
2011-2012,Ryane Clowe,LW
2011-2012,Mike Connolly,LW
2011-2012,Logan Couture,C
2011-2012,Jason Demers,D
2011-2012,Andrew Desjardins,C
2011-2012,Taylor Doherty,D
2011-2012,Benn Ferriero,RW
2011-2012,T.J. Galiardi,LW
2011-2012,Thomas Greiss,G
2011-2012,Michal Handzus,C
2011-2012,Martin Havlat,RW
2011-2012,Matt Irwin,D
2011-2012,Tim Kennedy,LW
2011-2012,James Livingston,RW
2011-2012,Patrick Marleau,LW
2011-2012,John McCarthy,LW
2011-2012,Jamie McGinn,LW
2011-2012,Frazer McLaren,LW
2011-2012,Torrey Mitchell,C
2011-2012,Dominic Moore,C
2011-2012,Andrew Murray,C
2011-2012,Douglas Murray,D
2011-2012,Antti Niemi,G
2011-2012,Antero Niittymaki,G
2011-2012,Joe Pavelski,C
2011-2012,Brodie Reid,RW
2011-2012,Harri Sateri,G
2011-2012,Tyson Sexsmith,G
2011-2012,James Sheppard,C
2011-2012,Joe Thornton,C
2011-2012,Jim Vandermeer,D
2011-2012,Marek Viedensky,C
2011-2012,Marc-Edouard Vlasic,D
2011-2012,Colin White,D
2011-2012,Brad Winchester,LW
2011-2012,Tommy Wingels,C
2011-2012,Daniel Winnik,LW
2012-2013,Arron Asham,RW
2012-2013,Stu Bickel,D
2012-2013,Martin Biron,G
2012-2013,Ryan Bourque,C
2012-2013,Brian Boyle,C
2012-2013,Derick Brassard,C
2012-2013,Ryan Callahan,RW
2012-2013,Ryane Clowe,LW
2012-2013,Michael Del Zotto,D
2012-2013,Derek Dorsett,RW
2012-2013,Steve Eminger,D
2012-2013,Jesper Fasth,RW
2012-2013,Benn Ferriero,C
2012-2013,Marian Gaborik,RW
2012-2013,Matt Gilroy,D
2012-2013,Daniel Girardi,D
2012-2013,Carl Hagelin,LW
2012-2013,Micheal Haley,C
2012-2013,Jeff Halpern,C
2012-2013,Roman Hamrlik,D
2012-2013,Tommy Hughes,D
2012-2013,Chris Kreider,LW
2012-2013,Henrik Lundqvist,G
2012-2013,Brandon Mashinter,LW
2012-2013,Ryan McDonagh,D
2012-2013,Dylan McIlrath,D
2012-2013,J.T. Miller,C
2012-2013,Jason Missiaen,G
2012-2013,John Moore,D
2012-2013,Rick Nash,LW
2012-2013,Kris Newbury,C
2012-2013,Nick Palmieri,RW
2012-2013,Darroll Powe,C
2012-2013,Taylor Pyatt,LW
2012-2013,Brad Richards,C
2012-2013,Michael Rupp,C
2012-2013,Michael Sauer,D
2012-2013,Brandon Segal,RW
2012-2013,Marc Staal,D
2012-2013,Derek Stepan,C
2012-2013,Anton Stralman,D
2012-2013,Cameron Talbot,G
2012-2013,Christian Thomas,RW
2012-2013,Mats Zuccarello,LW
2012-2013,Craig Adams,RW
2012-2013,Beau Bennett,RW
2012-2013,Robert Bortuzzo,D
2012-2013,Zach Boychuk,LW
2012-2013,Matt Cooke,LW
2012-2013,Sidney Crosby,C
2012-2013,Simon Despres,D
2012-2013,Pascal Dupuis,RW
2012-2013,Mark Eaton,D
2012-2013,Deryk Engelland,D
2012-2013,Marc-Andre Fleury,G
2012-2013,Tanner Glass,LW
2012-2013,Eric Hartzell,G
2012-2013,Jarome Iginla,RW
2012-2013,Dustin Jeffrey,LW
2012-2013,Jussi Jokinen,LW
2012-2013,Tyler Kennedy,C
2012-2013,Chris Kunitz,LW
2012-2013,Kris Letang,D
2012-2013,Ben Lovejoy,D
2012-2013,Steve MacIntyre,LW
2012-2013,Evgeni Malkin,C
2012-2013,Paul Martin,D
2012-2013,Brenden Morrow,LW
2012-2013,Joseph Morrow,D
2012-2013,Douglas Murray,D
2012-2013,James Neal,LW
2012-2013,Matt Niskanen,D
2012-2013,Brooks Orpik,D
2012-2013,Dylan Reese,D
2012-2013,Trevor Smith,C
2012-2013,Brandon Sutter,C
2012-2013,Eric Tangradi,LW
2012-2013,Joe Vitale,C
2012-2013,Tomas Vokoun,G
2012-2013,Jeff Zatkoff,G
2012-2013,Brett Bellemore,D
2012-2013,Marc-Andre Bergeron,D
2012-2013,Nicolas Blanchard,LW
2012-2013,Drayson Bowman,LW
2012-2013,Zach Boychuk,LW
2012-2013,Tim Brent,C
2012-2013,Joe Corvo,D
2012-2013,Zac Dalpe,C
2012-2013,Patrick Dwyer,RW
2012-2013,Dan Ellis,G
2012-2013,Justin Faulk,D
2012-2013,Tim Gleason,D
2012-2013,Marc-Andre Gragnani,D
2012-2013,Adam Hall,RW
2012-2013,Jay Harrison,D
2012-2013,Jussi Jokinen,LW
2012-2013,Michal Jordan,D
2012-2013,Chad Larose,RW
2012-2013,Jamie McBain,D
2012-2013,Brock McGinn,LW
2012-2013,Ryan Murphy,D
2012-2013,John Muse,G
2012-2013,Riley Nash,C
2012-2013,Andreas Nodl,RW
2012-2013,Justin Peters,G
2012-2013,Joni Pitkanen,D
2012-2013,Tuomo Ruutu,C
2012-2013,Bobby Sanguinetti,D
2012-2013,Alexander Semin,RW
2012-2013,Jeff Skinner,LW
2012-2013,Eric Staal,C
2012-2013,Jared Staal,RW
2012-2013,Jordan Staal,C
2012-2013,Brett Sutter,LW
2012-2013,Chris Terry,LW
2012-2013,Jiri Tlusty,C
2012-2013,Tim Wallace,RW
2012-2013,Cam Ward,G
2012-2013,Jeremy Welsh,C
2012-2013,Kevin Westgarth,RW
2012-2013,Jason Akeson,RW
2012-2013,Brian Boucher,G
2012-2013,Marc-Andre Bourdon,D
2012-2013,Daniel Briere,RW
2012-2013,Ilya Bryzgalov,G
2012-2013,Braydon Coburn,D
2012-2013,Sean Couturier,C
2012-2013,Ruslan Fedotenko,LW
2012-2013,Kyle Flanagan,C
2012-2013,Kurtis Foster,D
2012-2013,Simon Gagne,LW
2012-2013,Bruno Gervais,D
2012-2013,Claude Giroux,RW
2012-2013,Nicklas Grossmann,D
2012-2013,Erik Gustafsson,D
2012-2013,Adam Hall,RW
2012-2013,Scott Hartnell,LW
2012-2013,Calvin Heeter,G
2012-2013,Kent Huskins,D
2012-2013,Mike Knuble,RW
2012-2013,Matt Konan,D
2012-2013,Scott Laughton,C
2012-2013,Oliver Lauridsen,D
2012-2013,Michael Leighton,G
2012-2013,Andreas Lilja,D
2012-2013,Brandon Manning,D
2012-2013,Steve Mason,G
2012-2013,Tye McGinn,LW
2012-2013,Andrej Meszaros,D
2012-2013,Chris Pronger,D
2012-2013,Matt Read,RW
2012-2013,Zac Rinaldo,C
2012-2013,Jay Rosehill,LW
2012-2013,Brayden Schenn,C
2012-2013,Luke Schenn,D
2012-2013,Tom Sestito,LW
2012-2013,Jody Shelley,LW
2012-2013,Wayne Simmonds,RW
2012-2013,Maxime Talbot,C
2012-2013,Kimmo Timonen,D
2012-2013,Jakub Voracek,RW
2012-2013,Eric Wellwood,LW
2012-2013,Harry Zolnierczyk,LW
2012-2013,Keith Aucoin,C
2012-2013,Josh Bailey,C
2012-2013,Eric Boulton,LW
2012-2013,Brad Boyes,RW
2012-2013,Matt Carkner,D
2012-2013,Casey Cizikas,C
2012-2013,Calvin de Haan,D
2012-2013,Rick DiPietro,G
2012-2013,Matt Donovan,D
2012-2013,Joe Finley,D
2012-2013,Michael Grabner,RW
2012-2013,Travis Hamonic,D
2012-2013,Thomas Hickey,D
2012-2013,Jesse Joensuu,LW
2012-2013,Anders Lee,C
2012-2013,Andrew MacDonald,D
2012-2013,Matt Martin,LW
2012-2013,Radek Martinek,D
2012-2013,Colin McDonald,RW
2012-2013,Matt Moulson,LW
2012-2013,Evgeni Nabokov,G
2012-2013,Brock Nelson,C
2012-2013,Aaron Ness,D
2012-2013,Frans Nielsen,C
2012-2013,Anders Nilsson,G
2012-2013,Kyle Okposo,RW
2012-2013,John Persson,LW
2012-2013,Kevin Poulin,G
2012-2013,Marty Reasoner,C
2012-2013,Brian Strait,D
2012-2013,Mark Streit,D
2012-2013,Ryan Strome,C
2012-2013,Johan Sundstrom,C
2012-2013,John Tavares,C
2012-2013,David Ullstrom,LW
2012-2013,Lubomir Visnovsky,D
2012-2013,Matt Anderson,RW
2012-2013,Krystofer Barch,LW
2012-2013,Steve Bernier,RW
2012-2013,Martin Brodeur,G
2012-2013,Bobby Butler,RW
2012-2013,Ryan Carter,LW
2012-2013,David Clarkson,RW
2012-2013,Matt D'Agostini,RW
2012-2013,Patrik Elias,LW
2012-2013,Mark Fayne,D
2012-2013,Jeff Frazee,G
2012-2013,Eric Gelinas,D
2012-2013,Stephen Gionta,C
2012-2013,Andy Greene,D
2012-2013,Peter Harrold,D
2012-2013,Johan Hedberg,G
2012-2013,Seth Helgeson,D
2012-2013,Adam Henrique,C
2012-2013,Cam Janssen,RW
2012-2013,Jacob Josefson,C
2012-2013,Keith Kinkaid,G
2012-2013,Tom Kostopoulos,RW
2012-2013,Ilya Kovalchuk,RW
2012-2013,Adam Larsson,D
2012-2013,Andrei Loktionov,C
2012-2013,Stefan Matteau,LW
2012-2013,Harri Pesonen,LW
2012-2013,Alexei Ponikarovsky,LW
2012-2013,Bryce Salvador,D
2012-2013,Tim Sestito,C
2012-2013,Michael Sislo,RW
2012-2013,Steve Sullivan,LW
2012-2013,Henrik Tallinder,D
2012-2013,Mattias Tedenby,RW
2012-2013,Alexander Urbom,D
2012-2013,Anton Volchenkov,D
2012-2013,Travis Zajac,C
2012-2013,Marek Zidlicky,D
2012-2013,Dainius Zubrus,RW
2012-2013,Karl Alzner,D
2012-2013,Nicklas Backstrom,C
2012-2013,Jay Beagle,RW
2012-2013,Troy Brouwer,RW
2012-2013,John Carlson,D
2012-2013,Jason Chimera,LW
2012-2013,Joey Crabb,RW
2012-2013,Nicolas Deschamps,LW
2012-2013,Martin Erat,RW
2012-2013,John Erskine,D
2012-2013,Eric Fehr,RW
2012-2013,Chay Genoway,D
2012-2013,Mike Green,D
2012-2013,Philipp Grubauer,G
2012-2013,Roman Hamrlik,D
2012-2013,Matt Hendricks,C
2012-2013,Jack Hillen,D
2012-2013,Braden Holtby,G
2012-2013,Marcus Johansson,C
2012-2013,Tomas Kundratek,D
2012-2013,Brooks Laich,C
2012-2013,Peter Leblanc,C
2012-2013,Michal Neuvirth,G
2012-2013,Steve Oleksy,D
2012-2013,Dmitri Orlov,D
2012-2013,Alexander Ovechkin,LW
2012-2013,Mathieu Perreault,C
2012-2013,Tom Poti,D
2012-2013,Mike Ribeiro,C
2012-2013,Cameron Schilling,D
2012-2013,Nate Schmidt,D
2012-2013,Jeff Schultz,D
2012-2013,Ryan Stoa,C
2012-2013,Aaron Volpatti,LW
2012-2013,Joel Ward,RW
2012-2013,Casey Wellman,C
2012-2013,Patrick Wey,D
2012-2013,Tom Wilson,RW
2012-2013,Wojtek Wolski,LW
2012-2013,Artem Anisimov,C
2012-2013,Cam Atkinson,RW
2012-2013,Adrian Aucoin,D
2012-2013,Jonathan Audy-Marchessault,C
2012-2013,Sergei Bobrovsky,G
2012-2013,Jared Boll,RW
2012-2013,Derick Brassard,C
2012-2013,Matt Calvert,LW
2012-2013,Michael Chaput,C
2012-2013,Sean Collins,C
2012-2013,Blake Comeau,LW
2012-2013,Derek Dorsett,RW
2012-2013,Nicholas Drazenovic,C
2012-2013,Brandon Dubinsky,C
2012-2013,Tim Erixon,D
2012-2013,Nick Foligno,LW
2012-2013,Marian Gaborik,RW
2012-2013,Colton Gillies,C
2012-2013,Cody Goloubef,D
2012-2013,Nick Holden,D
2012-2013,Ryan Johansen,C
2012-2013,Jack Johnson,D
2012-2013,Michael Leighton,G
2012-2013,Mark Letestu,C
2012-2013,Derek MacKenzie,C
2012-2013,Steve Mason,G
2012-2013,John Moore,D
2012-2013,Nikita Nikitin,D
2012-2013,Vinny Prospal,LW
2012-2013,Dalton Prout,D
2012-2013,David Savard,D
2012-2013,Fedor Tyutin,D
2012-2013,R.J. Umberger,LW
2012-2013,James Wisniewski,D
2012-2013,Daniel Alfredsson,RW
2012-2013,Craig Anderson,G
2012-2013,Andre Benoit,D
2012-2013,Ben Bishop,G
2012-2013,Mark Borowiecki,D
2012-2013,Cory Conacher,C
2012-2013,Erik Condra,RW
2012-2013,Jared Cowen,D
2012-2013,Stephane Da Costa,C
2012-2013,Kaspars Daugavins,LW
2012-2013,David Dziurzynski,LW
2012-2013,Sergei Gonchar,D
2012-2013,Derek Grant,C
2012-2013,Colin Greening,LW
2012-2013,Eric Gryba,D
2012-2013,Mike Hoffman,C
2012-2013,Erik Karlsson,D
2012-2013,Matt Kassian,LW
2012-2013,Guillaume Latendresse,LW
2012-2013,Robin Lehner,G
2012-2013,Mike Lundin,D
2012-2013,Marc Methot,D
2012-2013,Milan Michalek,LW
2012-2013,Chris Neil,RW
2012-2013,Jim O'Brien,C
2012-2013,Jean-Gabriel Pageau,C
2012-2013,Chris Phillips,D
2012-2013,Peter Regin,C
2012-2013,Michael Sdao,D
2012-2013,Jakob Silfverberg,RW
2012-2013,Zack Smith,C
2012-2013,Jason Spezza,C
2012-2013,Mark Stone,RW
2012-2013,Kyle Turris,C
2012-2013,Patrick Wiercioch,D
2012-2013,Mika Zibanejad,C
2012-2013,Luke Adam,C
2012-2013,T.J. Brennan,D
2012-2013,Christian Ehrhoff,D
2012-2013,Matt Ellis,LW
2012-2013,Tyler Ennis,C
2012-2013,Jhonas Enroth,G
2012-2013,Brian Flynn,C
2012-2013,Marcus Foligno,LW
2012-2013,Nathan Gerbe,LW
2012-2013,Mikhail Grigorenko,C
2012-2013,Jochen Hecht,C
2012-2013,Cody Hodgson,C
2012-2013,Patrick Kaleta,RW
2012-2013,Ville Leino,LW
2012-2013,Jordan Leopold,D
2012-2013,Cody McCormick,C
2012-2013,Ryan Miller,G
2012-2013,Tyler Myers,D
2012-2013,Steve Ott,C
2012-2013,Adam Pardy,D
2012-2013,Jason Pominville,RW
2012-2013,Kevin Porter,C
2012-2013,Mark Pysyk,D
2012-2013,Robyn Regehr,D
2012-2013,Chad Ruhwedel,D
2012-2013,John Scott,LW
2012-2013,Andrej Sekera,D
2012-2013,Drew Stafford,RW
2012-2013,Alexander Sulzer,D
2012-2013,Thomas Vanek,LW
2012-2013,Mike Weber,D
2012-2013,Colby Armstrong,RW
2012-2013,Nathan Beaulieu,D
2012-2013,Michael Blunden,RW
2012-2013,Francis Bouillon,D
2012-2013,Michael Bournival,LW
2012-2013,Rene Bourque,RW
2012-2013,Peter Budaj,G
2012-2013,Erik Cole,LW
2012-2013,David Desharnais,C
2012-2013,Raphael Diaz,D
2012-2013,Davis Drewiske,D
2012-2013,Gabriel Dumont,C
2012-2013,Lars Eller,C
2012-2013,Alexei Emelin,D
2012-2013,Alex Galchenyuk,C
2012-2013,Brendan Gallagher,RW
2012-2013,Brian Gionta,RW
2012-2013,Josh Gorges,D
2012-2013,Jeff Halpern,C
2012-2013,Tomas Kaberle,D
2012-2013,Louis LeBlanc,RW
2012-2013,Andrei Markov,D
2012-2013,Robert Mayer,G
2012-2013,Travis Moen,LW
2012-2013,Petteri Nokelainen,C
2012-2013,Max Pacioretty,LW
2012-2013,Greg Pateryn,D
2012-2013,Tomas Plekanec,C
2012-2013,Carey Price,G
2012-2013,Brandon Prust,LW
2012-2013,Michael Ryder,RW
2012-2013,P.K Subban,D
2012-2013,Jarred Tinordi,D
2012-2013,Dustin Tokarski,G
2012-2013,Yannick Weber,D
2012-2013,Ryan White,C
2012-2013,Matt Bartkowski,D
2012-2013,Patrice Bergeron,C
2012-2013,Chris Bourque,LW
2012-2013,Johnny Boychuk,D
2012-2013,Gregory Campbell,C
2012-2013,Jordan Caron,RW
2012-2013,Zdeno Chara,D
2012-2013,Kaspars Daugavins,LW
2012-2013,Andrew Ference,D
2012-2013,Dougie Hamilton,D
2012-2013,Nathan Horton,RW
2012-2013,Jaromir Jagr,RW
2012-2013,Aaron Johnson,D
2012-2013,Chris Kelly,C
2012-2013,Anton Khudobin,G
2012-2013,David Krejci,C
2012-2013,Torey Krug,D
2012-2013,Milan Lucic,LW
2012-2013,Lane MacDermid,LW
2012-2013,Brad Marchand,LW
2012-2013,Adam McQuaid,D
2012-2013,Daniel Paille,LW
2012-2013,Jay Pandolfo,LW
2012-2013,Rich Peverley,C
2012-2013,Tuukka Rask,G
2012-2013,Wade Redden,D
2012-2013,Marc Savard,C
2012-2013,Tyler Seguin,C
2012-2013,Dennis Seidenberg,D
2012-2013,Carl Soderberg,C
2012-2013,Ryan Spooner,C
2012-2013,Jamie Tardif,RW
2012-2013,Shawn Thornton,LW
2012-2013,Sean Bergenheim,LW
2012-2013,Nick Bjugstad,C
2012-2013,T.J. Brennan,D
2012-2013,Brian Campbell,D
2012-2013,Michael Caruso,D
2012-2013,Scott Clemmensen,G
2012-2013,Keaton Ellerby,D
2012-2013,Tomas Fleischmann,LW
2012-2013,Marcel Goc,C
2012-2013,Erik Gudbranson,D
2012-2013,Zach Hamill,C
2012-2013,Quinton Howden,C
2012-2013,Jonathan Huberdeau,C
2012-2013,Ed Jovanovski,D
2012-2013,Tomas Kopecky,RW
2012-2013,Alex Kovalev,RW
2012-2013,Filip Kuba,D
2012-2013,Dmitry Kulikov,D
2012-2013,Jacob Markstrom,G
2012-2013,Shawn Matthias,C
2012-2013,Peter Mueller,C
2012-2013,George Parros,RW
2012-2013,Alex Petrovic,D
2012-2013,Jonathan Racine,D
2012-2013,Greg Rallo,C
2012-2013,Jonathan Rheault,RW
2012-2013,Colby Robak,D
2012-2013,Mike Santorelli,C
2012-2013,Eric Selleck,LW
2012-2013,Drew Shore,C
2012-2013,Jack Skille,RW
2012-2013,Jerred Smithson,RW
2012-2013,Tyson Strachan,D
2012-2013,Jose Theodore,G
2012-2013,Scott Timmins,C
2012-2013,Scottie Upshall,LW
2012-2013,Kris Versteeg,RW
2012-2013,Mike Weaver,D
2012-2013,Stephen Weiss,C
2012-2013,Nolan Yonkman,D
2012-2013,Jesse Blacker,D
2012-2013,Tyler Bozak,C
2012-2013,Mike Brown,RW
2012-2013,Joe Colborne,C
2012-2013,Cody Franson,D
2012-2013,Mark Fraser,D
2012-2013,Matt Frattin,RW
2012-2013,Jake Gardiner,D
2012-2013,Mikhail Grabovski,C
2012-2013,Carl Gunnarsson,D
2012-2013,Ryan Hamilton,LW
2012-2013,Korbinian Holzer,D
2012-2013,Nazem Kadri,C
2012-2013,Phil Kessel,RW
2012-2013,Leo Komarov,C
2012-2013,Michael Komisarek,D
2012-2013,Michael Kostka,D
2012-2013,Nikolai Kulemin,LW
2012-2013,Josh Leivo,LW
2012-2013,John-Michael Liles,D
2012-2013,Joffrey Lupul,LW
2012-2013,Clarke MacArthur,LW
2012-2013,Drew MacIntyre,G
2012-2013,Kevin Marshall,D
2012-2013,Jay McClement,C
2012-2013,Frazer McLaren,LW
2012-2013,Ryan O'Byrne,D
2012-2013,Colton Orr,RW
2012-2013,Dion Phaneuf,D
2012-2013,James Reimer,G
2012-2013,Jussi Rynnas,G
2012-2013,Ben Scrivens,G
2012-2013,David Steckel,C
2012-2013,James Van Riemsdyk,LW
2012-2013,Mike Angelidis,C
2012-2013,Keith Aulie,D
2012-2013,Mark Barberio,D
2012-2013,Marc-Andre Bergeron,D
2012-2013,Ben Bishop,G
2012-2013,Eric Brewer,D
2012-2013,Matt Carle,D
2012-2013,Cory Conacher,C
2012-2013,Brett Connolly,RW
2012-2013,B.J. Crombeen,RW
2012-2013,Cedrick Desjardins,G
2012-2013,Mathieu Garon,G
2012-2013,Radko Gudas,D
2012-2013,Adam Hall,RW
2012-2013,Victor Hedman,D
2012-2013,Tyler Johnson,C
